"종류(01한식,02중식,03일식,04양식,05기타외국음식,06디저트/카페)",테마(국가),업소명,전화번호,주소1,주소2,주요요리,위도,경도,사장님이자랑하는내가게한마디,음식종류,평균가격
3,일본,고로킹,,서울특별시 용산구 회나무로 29,1층 이태원동,"주요메뉴 : 멘치카츠(고기고로케) 4,500, 감자고로케 5,300추천메뉴 : 멘치카츠 4,500",37.53963898,126.9898573,지구에서 제일 맛있는 고로케,일식,4766
3,일본,유타로,02-797-5776,서울특별시 용산구 이태원로 216,1층 한남동,"주요메뉴 : 시로 7,000, 쿠로 8,000추천메뉴 : 시로 7,000",37.53468751,126.9981354,"먹는 것 이상의 맛있는 즐거운, 하키타 일본라면",일식,7333
3,일본,후지야마소바,02-749-4129,서울특별시 용산구 이태원로 208,"1층 6,7호 한남동","주요메뉴 : 자루소바 3,800, 키츠네우동 3,800추천메뉴 : 지루소바 3,800",37.53453972,126.9970583,일본에서 먹어본 맛을 즐길 수 있어요,일식,3800
5,베트남,포하우스,02-793-5220,서울특별시 용산구 이태원로20길 2-12,2층 이태원동,"주요메뉴 : 베트남쌀국수 8,000~11,000, 팟타이 12,000 추천메뉴 : 베트남쌀국수 8,000~11,000",37.53393038,126.9915235,베트남쌀국수가 맛있는 이태원 포하우스,기타외국음식,10000
6,일본,도쿄빙수경리단길점,070-7812-9584,서울특별시 용산구 녹사평대로46길 10,1층 이태원동,"주요메뉴 : 토마토빙수 8,900 말차빙수 10,500 키리모찌 6,500추천메뉴 : 토마토빙수 8,900",37.53726011,126.9874137,지구상에서 가장 맛있는 빙수가 있는 도쿄빙수,디저트/카페,8700
5,인도,타지펠리스,02-790-5786,서울특별시 용산구 우사단로 39,인도요리 부페,주요메뉴 : 인도요리 부페추천메뉴 : 인도요리 부페,37.53369994,126.9954472,,기타외국음식,0
5,태국,낭낭,02-792-3340,서울특별시 용산구 보광로59길 9,,"주요메뉴 : 카오쏘이 8,000, 꾸웨이띠여우 �c양누들 8,000추천메뉴 : 카오쏘이 8,000",37.53386563,126.9934514,국내에서 처음 선보이는 태국북부지방 국수 전문점,기타외국음식,8000
2,대만,우육미엔 이태원점,02-798-5556,서울특별시 용산구 이태원로55가길 26-8,,"주요메뉴 : 마라우육미엔 10,500원, 꿔바로우 12,000원, 자샤랑군 6,000원추천메뉴 :&nbsp; 마라우육미엔 10,500원",37.53751306,126.9999004,대만현지 30년 경력의 Tony Kang쉐프와 국내 3인이 모여 대만 본토보다 맛있는 우육면을 만들자는 각오로 오랫동안 연구하고 대만을 넘나들며 합작하여 만들었습니다.,중식,9750
5,베트남,베트남고향식당3호점,02-796-7436,서울특별시 용산구 회나무로 66,,"주요메뉴 : 소고기쌀국수 9,000원, 만두튀김 10,000원, 볶음밥 10,000원추천메뉴 : 소고기쌀국수 9,000원",37.54011499,126.9938492,"베트남 현지의 맛, 고향의 맛을 느껴보세요.",기타외국음식,9500
3,일본,노리테이블,02-792-4427,서울특별시 용산구 녹사평대로40나길 1,지하1층 이태원동,"주요메뉴 : 핸드롤 데마끼(2개) - 4,000 ~ 10,000원마끼(6개!8개) - 6,000 ~ 15,000원홍합에피타이저 - 8,000원추천메뉴 : 핸드롤 데마끼(2개) - 4,000 ~ 10,000원",37.53461123,126.9880296,캐쥬얼 일식 및 사케바,일식,8142
5,중동(파키스탄),더 할랄 가이즈,02-794-8308,서울특별시 용산구 이태원로 187,지상2층 이태원동,"주요메뉴 : 치킨&amp;자이로 플레터(M)-9,900원자이로샌드위치-8,900원추천메뉴 : 치킨&amp;자이로 플래터(M)-9,900원",37.53472705,126.9947819,뉴욕 최고의 스트릿 푸드,기타외국음식,9566
5,베트남,반미리,070-8289-4190,서울특별시 용산구 회나무로 66,지상1층 이태원동,"주요메뉴 : 반미 샌드위치-8,000원바나나튀김-5,000원추천메뉴 : 반미샌드위치-8,000원",37.54011499,126.9938492,베트남 샌드위치 전문점,기타외국음식,7000
4,미국,플라잉볼 익스프레스 이태원점,02-790-0511,서울특별시 용산구 녹사평대로40길 59-2,지상2층 이태원동,"주요메뉴 : 클래식버거-8,500원시그니쳐번-5,500원추천메뉴 : 클래식버거-8,500원",37.53445277,126.9892832,최고의 맛은 번으로 결정된다.,양식,7500
6,미국,크리에잇쿠키,02-792-8890,서울특별시 용산구 회나무로 36,지상1층 이태원동,"주요메뉴 : 코코넛 초코칩쿠키-2,000원클래식 초코칩쿠키-1,900원누텔라 피넛버터쿠키-2,500추천메뉴 : 코코넛 초코칩쿠키-2,000원",37.53962103,126.9905995,유기농 밀로 만든 미국식 쿠키 전문점,디저트/카페,2100
5,이탈리아,dubstep B (덥스텝 비),02-796-7015,서울특별시 용산구 이태원로 243,1층 (한남동),"주요메뉴 : 수제버거, 연어 스테이크, 파스타, 함박 스테이크, 세계맥주와 와인추천메뉴 : 수제버거, 파스타, 연어 스테이크, 함박 스테이크, 그외 안주류 모두 맛있습니다. ^ ^",37.53680307,127.0000181,"외국의 다양한 국적 분들도 무난하게 식사를 즐기실수 있는 메뉴들로 구성되어 있습니다. 깔끔하고 정갈한 내부 인테리어와 예쁜 테라스가 있는 dubstep B는 Dining & Pub이지만, 조만간 커피도 됩니다.  ^ ^;;  `dubstep B`는 연인들의 데이트 코스로  `성지`와도 같은 곳입니다.",기타외국음식,0
4,이탈리아,스윗비,02-792-0749,서울특별시 용산구 회나무로32길 2-1,지상1층 (이태원동),"주요메뉴 : 캐릭터타입 아이스크림 5,300원기본 아이스크림 4,000원소스타입 아이스크림 5,300원추천메뉴 : 캐릭터타입 아이스크림 5,300원",37.53979415,126.9923782,프리미엄 이탈리안 아이스크림 전문점,양식,4975
4,프랑스,르푸도레,02-797-8893,서울특별시 용산구 이태원로23길 34,지상1층 (이태원동),"주요메뉴 : 르방 바게트 4,500원크로아상 4,200원마스카포네 크림 크로아상 4,500원추천메뉴 : 크로아상 4,500원",37.53566032,126.991831,아담하고 이쁜 프렌치 빵 전문점,양식,4425
4,이탈리아,포카사,02-2038-2488,서울특별시 용산구 이태원로49길 14-2,지상1~2층 (한남동),"주요메뉴 : 포카치아 샌드위치 8,000원파스타치오 에끌레어 5,500원이탈리아노 마로키노 5,000원추천메뉴 : 포카치아 샌드위치 8,000원",37.53724997,126.9997149,정통 이탈리안 델리 카페,양식,6625
4,독일,스톤그라운드,02-790-8906,서울특별시 용산구 이태원로49길 14-3,지상1층 (한남동),"주요메뉴 : 독일식 프뢰첸 빵 (2,000~2,200원)샌드위치 (7,500~8,500원)케이크 (6,000~9,000원)추천메뉴 : 독일식 브뢰첸 빵 (2,000~2,200원)",37.53726438,126.9995881,갓 구운 독일식 빵과 건강 샌드위치,양식,4925
4,미국,다운타우너,070-8820-3696,서울특별시 용산구 이태원로42길 28-4,지상1층 (한남동),"주요메뉴 : 치즈버거 6,800원베이컨 치즈버거 7,800원아보카도 버거 9,300추천메뉴 : 아보카도 버거 9,300",37.53588045,127.0003937,한남동 수제버거,양식,8300
5,이집트,카이로 바베큐,02-798-1253,서울특별시 용산구 우사단로10길 45,지상1층 (한남동),"주요메뉴 : 훈제연어 10,000훈제새우 10,000훈제양갈비 10,000추천메뉴 : 훈제양갈비 10,000",37.53294317,126.9980676,이집트 음식 전문점,기타외국음식,10000
5,중국,쟈니덤플링2호점,02-790-8839,서울특별시 용산구 이태원로27가길 9,1층 (이태원동),"주요메뉴 : 군만두 7,000, 만두국 7,000추천메뉴 : 만두국 7,000",37.53496491,126.9947819,만두 귀신들의 성지,기타외국음식,7000
5,일본,라운드 어바웃(ROUND ABOUT),070-5055-2258,서울특별시 용산구 이태원로54길 46,1층 (한남동),"주요메뉴 : 일본카레 8,000, 스파이시에비카레 9,000, 돈가츠정식 12,000추천메뉴 : 일본카레 8,000",37.53643906,127.0013804,카레전문점으로 카레를 제외한 요일별로 다른 일본가정석을 즐길 수 있는 매장입니다,기타외국음식,9250
5,터키,미스터케밥 본점,070-7758-1997,서울특별시 용산구 이태원로 191,1~2층 (이태원동),"주요메뉴 : 터키 케밥 닭고기 5,500, 점보 케밥 양고기 7,000, 필라프 케밥 양고기 9,000, 치즈 토스트 케밥 닭고기 7,500, 팔라펠 랩 6,500 추천메뉴 : 터키 케밥 닭고기 5,500",37.53477753,126.9952978,다양한 터키 케밥과 할랄 음식의 대표적 음식점,기타외국음식,6833
5,터키,미스터케밥 2호점,070-7532-1997,서울특별시 용산구 우사단로 42,(이태원동),"주요메뉴 : 터키 케밥 닭고기 5,500, 점보 케밥 믹스 닭 양고기 8,000, 박스 케밥 닭고기 7,500, 치즈 토스트 케밥 양고기 8,000, 팔라펠 랩 6,500추천메뉴 : 점보 케밥 믹스 닭&amp;양고기 8,000",37.53395223,126.995764,다양한 터키 케밥과 할랄 음식의 대표적 음식점,기타외국음식,7250
5,터키,술탄베이케밥,02-749-3890,서울특별시 용산구 보광로 126,(이태원동),"주요메뉴 : 터키 케밥 닭고기 5,500, 톰빅 케밥 양고기 7,000, 이네골 케밥 9,900, 라흐마준 랩 9,900, 술탄피데 10,900추천메뉴 : 이네골 케밥 9,900",37.53402424,126.9942253,다양한 터키 케밥과 할랄 음식의 대표적 음식점,기타외국음식,8850
5,중국,웨스턴차이나,02-795-6751,서울특별시 용산구 독서당로 73,"(한남동, 성아맨숀)","주요메뉴 : 짜장면 6,000, 하얀삼선짬뽕 8,000, 해물야채소면 8,000추천메뉴 : 하얀삼선짬뽕 8,000",37.53419708,127.008386,,기타외국음식,7500
5,일본,함바그또카레야,02-793-8582,서울특별시 용산구 독서당로 76,(한남동),"주요메뉴 : 함박스테이크 10,000, 일본식카레 7,000, 함박스테이크 카레 12,500추천메뉴 : 함박스테이크 10,000",37.53392312,127.0090739,,기타외국음식,9875
