"종류(01한식,02중식,03일식,04양식,05기타외국음식,06디저트/카페)",테마(국가),업소명,전화번호,주소1,주소2,주요요리,위도,경도,사장님이자랑하는내가게한마디
3,일본,도쿄살롱,02-792-3068,서울특별시 용산구 회나무로 74,1층 이태원동,"주요메뉴 : 야끼토리6품 17,000, 매운차돌해물짬뽕 18,000 추천메뉴 : 야끼토리6품 17,000",37.54040696,126.9947589,매일 신선한 재료로 정성껏 만든 수제꼬치
4,프랑스,바이휴고,070-4063-1642,서울특별시 용산구 이태원로17길 23-13,1층 이태원동,"주요메뉴 : 스트립도인 스테이크 41,000, 샴피뇽 파스타 22,000, 에스까르고 11,000추천메뉴 : 스트립도인 스테이크 41,000",37.53546566,126.9911929,캐쥬얼한 프렌치 레스토랑
5,카메룬,Africanport,02-792-9214,서울특별시 용산구 이태원로14길 29-1,2층 이태원동,"주요메뉴 : 오크로 15,000, 졸러프라이스 15,000추천메뉴 : 오크로 15,000",37.53319874,126.9912158,아프리카의 품속으로
3,일본,고로킹,,서울특별시 용산구 회나무로 29,1층 이태원동,"주요메뉴 : 멘치카츠(고기고로케) 4,500, 감자고로케 5,300추천메뉴 : 멘치카츠 4,500",37.53963898,126.9898573,지구에서 제일 맛있는 고로케
4,미국,매덕스피자이태원점,02-792-2420,서울특별시 용산구 이태원로26길 26,2층 이태원동,"주요메뉴 : 마르게리타피자(한조각 6,700/한판 49,000), 맥앤치즈베이컨피자(한조각 6,500/ 한판 48,000), 하와이안피자(한조각 6,500/ 한판 48,000)추천메뉴 : 마르게리타피자(한조각 6,700/한판 49,000)
",37.53334665,126.9935239,뉴욕스타일의 조각피자
4,미국,미트볼라운지,02-790-1102,서울특별시 용산구 이태원로54길 36,1층 한남동,"주요메뉴 : 클래식 토마토소스와 미국엄마손맛 소고기미트볼플래터 25,000, 육즙이 팡팡 터지는 스테이크가 올라간 필라프 15,000추천메뉴 : 소고기플래터 25,000",37.53678504,127.0016067,Fast casual dining pub 미트볼전문점으로 다양한 미국식 퓨전음식과 맥주를 트렌디하게 즐길 수 있습니다
4,이탈리아,스테이지비,02-6399-7545,서울특별시 용산구 이태원로 294,2층 한남동,"주요메뉴 : 립아이스테이크 38,000 키조개샐러드 21,000 크랩크림파스타 27,000추천메뉴 : 립아이스테이크 38,000",37.54086836,127.0024848,외식과 문화가 공존하는 예술의 공간
3,일본,솔로스키친,02-6399-7447,서울특별시 용산구 이태원로 294,2층 한남동,"주요메뉴 : 치킨가라아게덮밥 10,500 새우야채덮밥 11,000 추천메뉴 : 치킨가라아게덮밥 10,500",37.54086836,127.0024848,혼공족'을 위해 간편하게 테이크아웃해서 어디서든 편안하게 먹을 수 있는 건강한 한그릇 메뉴
5,요르단,아라베스크이태원,02-790-6910,서울특별시 용산구 이태원로 227,2층 한남동,"주요메뉴 : 치킨/양고기 만디 18,000, 치킨/양고기 만사프 20,000추천메뉴 : 치킨/양고기 만디 18,000",37.53563537,126.998855,"할랄요리 전문점, 아랍요리 전문점"
4,미국,앤와이비엔비버거엔베이글,02-553-7792,서울특별시 용산구 이태원로55나길 6,1층 한남동,"주요메뉴 : The B&amp;B 14,500 Uptown Girl 16,500 The Budda Gump 25,000추천메뉴 : The B&amp;B 14,500",37.53666612,126.9990948,한국에서 느낄 수 있는 뉴욕 맨하탄의 버거 맛
